// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/" /p:OutDir="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/bin/Release/net10.0/" /p:OutputPath="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/bin/Release/net10.0/" /p:PublishDir="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/publish/" in /home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1
// command took 3.06 sec and exited with 0
// start dotnet  build -c Release --no-restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/" /p:OutDir="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/bin/Release/net10.0/" /p:OutputPath="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/bin/Release/net10.0/" /p:PublishDir="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/publish/" --output "/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/bin/Release/net10.0/" in /home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1
// command took 34.15 sec and exited with 0
// ***** Done, took 00:00:37 (37.38 sec)   *****
// Found 6 benchmarks:
//   UdpSessionBenchmarks.PopulateSessionsAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1]
//   UdpSessionBenchmarks.PopulateSessionsNoopTransportAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1]
//   UdpSessionBenchmarks.PopulateSessionsAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=100]
//   UdpSessionBenchmarks.PopulateSessionsNoopTransportAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=100]
//   UdpSessionBenchmarks.PopulateSessionsAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1000]
//   UdpSessionBenchmarks.PopulateSessionsNoopTransportAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1000]

// **************************
// Benchmark: UdpSessionBenchmarks.PopulateSessionsAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet WinForward.Benchmarks-ShortRun-1.dll --anonymousPipes 141 142 --benchmarkName "WinForward.Benchmarks.Perf.UdpSessionBenchmarks.PopulateSessionsAsync(Sessions: 1)" --job ShortRun --benchmarkId 0 in /home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/bin/Release/net10.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.8
// Runtime=.NET 10.0.12 (10.0.12, 10.0.1226.42308), X64 RyuJIT x86-64-v4
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX512 BITALG+VBMI2+VNNI+VPOPCNTDQ,AVX512 IFMA+VBMI,AVX512 F+BW+CD+DQ+VL,AVX2+BMI1+BMI2+F16C+FMA+LZCNT+MOVBE,AVX,SSE3+SSSE3+SSE4.1+SSE4.2+POPCNT,X86Base+SSE+SSE2,AES+PCLMUL,AvxVnni VectorSize=256
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

OverheadJitting  1: 1 op, 300608.00 ns, 300.6080 us/op
WorkloadJitting  1: 1 op, 160057140.00 ns, 160.0571 ms/op

WorkloadPilot    1: 2 op, 96374766.00 ns, 48.1874 ms/op
WorkloadPilot    2: 3 op, 139079823.00 ns, 46.3599 ms/op
WorkloadPilot    3: 4 op, 187013503.00 ns, 46.7534 ms/op
WorkloadPilot    4: 5 op, 227771652.00 ns, 45.5543 ms/op
WorkloadPilot    5: 6 op, 280417472.00 ns, 46.7362 ms/op
WorkloadPilot    6: 7 op, 319743507.00 ns, 45.6776 ms/op
WorkloadPilot    7: 8 op, 360490013.00 ns, 45.0613 ms/op
WorkloadPilot    8: 9 op, 406094270.00 ns, 45.1216 ms/op
WorkloadPilot    9: 10 op, 463051893.00 ns, 46.3052 ms/op
WorkloadPilot   10: 11 op, 489695709.00 ns, 44.5178 ms/op
WorkloadPilot   11: 12 op, 537407340.00 ns, 44.7839 ms/op

WorkloadWarmup   1: 12 op, 536732022.00 ns, 44.7277 ms/op
WorkloadWarmup   2: 12 op, 525068834.00 ns, 43.7557 ms/op
WorkloadWarmup   3: 12 op, 531618671.00 ns, 44.3016 ms/op

// BeforeActualRun
WorkloadActual   1: 12 op, 538260489.00 ns, 44.8550 ms/op
WorkloadActual   2: 12 op, 532334532.00 ns, 44.3612 ms/op
WorkloadActual   3: 12 op, 520599147.00 ns, 43.3833 ms/op

// AfterActualRun
WorkloadResult   1: 12 op, 538260489.00 ns, 44.8550 ms/op
WorkloadResult   2: 12 op, 532334532.00 ns, 44.3612 ms/op
WorkloadResult   3: 12 op, 520599147.00 ns, 43.3833 ms/op
// GC:  0 0 0 1986816 12
// Threading:  142 765 12
// Exceptions:  133

// AfterAll
// Benchmark Process 1260306 has exited with code 0.

Mean = 44.200 ms, StdErr = 0.432 ms (0.98%), N = 3, StdDev = 0.749 ms
Min = 43.383 ms, Q1 = 43.872 ms, Median = 44.361 ms, Q3 = 44.608 ms, Max = 44.855 ms
IQR = 0.736 ms, LowerFence = 42.768 ms, UpperFence = 45.712 ms
ConfidenceInterval = [30.535 ms; 57.865 ms] (CI 99.9%), Margin = 13.665 ms (30.92% of Mean)
Skewness = -0.21, Kurtosis = 0.67, MValue = 2

// ** Remained 5 (83.3%) benchmark(s) to run. Estimated finish 2026-09-22 13:19 (0h 0m from now) **
// **************************
// Benchmark: UdpSessionBenchmarks.PopulateSessionsNoopTransportAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet WinForward.Benchmarks-ShortRun-1.dll --anonymousPipes 141 142 --benchmarkName "WinForward.Benchmarks.Perf.UdpSessionBenchmarks.PopulateSessionsNoopTransportAsync(Sessions: 1)" --job ShortRun --benchmarkId 1 in /home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/bin/Release/net10.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.8
// Runtime=.NET 10.0.12 (10.0.12, 10.0.1226.42308), X64 RyuJIT x86-64-v4
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX512 BITALG+VBMI2+VNNI+VPOPCNTDQ,AVX512 IFMA+VBMI,AVX512 F+BW+CD+DQ+VL,AVX2+BMI1+BMI2+F16C+FMA+LZCNT+MOVBE,AVX,SSE3+SSSE3+SSE4.1+SSE4.2+POPCNT,X86Base+SSE+SSE2,AES+PCLMUL,AvxVnni VectorSize=256
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

OverheadJitting  1: 1 op, 270451.00 ns, 270.4510 us/op
WorkloadJitting  1: 1 op, 97210186.00 ns, 97.2102 ms/op

WorkloadPilot    1: 2 op, 90870179.00 ns, 45.4351 ms/op
WorkloadPilot    2: 3 op, 135152790.00 ns, 45.0509 ms/op
WorkloadPilot    3: 4 op, 186970242.00 ns, 46.7426 ms/op
WorkloadPilot    4: 5 op, 226606162.00 ns, 45.3212 ms/op
WorkloadPilot    5: 6 op, 272343411.00 ns, 45.3906 ms/op
WorkloadPilot    6: 7 op, 310092178.00 ns, 44.2989 ms/op
WorkloadPilot    7: 8 op, 370727948.00 ns, 46.3410 ms/op
