// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 15 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/" /p:OutDir="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/bin/Release/net10.0/" /p:OutputPath="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/bin/Release/net10.0/" /p:PublishDir="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/publish/" in /home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1
// command took 2.89 sec and exited with 0
// start dotnet  build -c Release --no-restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/" /p:OutDir="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/bin/Release/net10.0/" /p:OutputPath="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/bin/Release/net10.0/" /p:PublishDir="/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/publish/" --output "/home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/bin/Release/net10.0/" in /home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1
// command took 34 sec and exited with 0
// ***** Done, took 00:00:37 (37.04 sec)   *****
// Found 15 benchmarks:
//   FrameworkSetupBenchmarks.RealTransport_CreateDisposeAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1]
//   FrameworkSetupBenchmarks.Control_ConnectDisposeAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1]
//   FrameworkSetupBenchmarks.Control_ConnectAssociateDisposeAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1]
//   FrameworkSetupBenchmarks.RelaySocket_CreateBindClose: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1]
//   FrameworkSetupBenchmarks.SelfTraffic_RegisterRelease: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1]
//   FrameworkSetupBenchmarks.RealTransport_CreateDisposeAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=100]
//   FrameworkSetupBenchmarks.Control_ConnectDisposeAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=100]
//   FrameworkSetupBenchmarks.Control_ConnectAssociateDisposeAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=100]
//   FrameworkSetupBenchmarks.RelaySocket_CreateBindClose: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=100]
//   FrameworkSetupBenchmarks.SelfTraffic_RegisterRelease: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=100]
//   FrameworkSetupBenchmarks.RealTransport_CreateDisposeAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1000]
//   FrameworkSetupBenchmarks.Control_ConnectDisposeAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1000]
//   FrameworkSetupBenchmarks.Control_ConnectAssociateDisposeAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1000]
//   FrameworkSetupBenchmarks.RelaySocket_CreateBindClose: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1000]
//   FrameworkSetupBenchmarks.SelfTraffic_RegisterRelease: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1000]

// **************************
// Benchmark: FrameworkSetupBenchmarks.RealTransport_CreateDisposeAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet WinForward.Benchmarks-ShortRun-1.dll --anonymousPipes 150 151 --benchmarkName "WinForward.Benchmarks.Perf.FrameworkSetupBenchmarks.RealTransport_CreateDisposeAsync(Sessions: 1)" --job ShortRun --benchmarkId 0 in /home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/bin/Release/net10.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.8
// Runtime=.NET 10.0.12 (10.0.12, 10.0.1226.42308), X64 RyuJIT x86-64-v4
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX512 BITALG+VBMI2+VNNI+VPOPCNTDQ,AVX512 IFMA+VBMI,AVX512 F+BW+CD+DQ+VL,AVX2+BMI1+BMI2+F16C+FMA+LZCNT+MOVBE,AVX,SSE3+SSSE3+SSE4.1+SSE4.2+POPCNT,X86Base+SSE+SSE2,AES+PCLMUL,AvxVnni VectorSize=256
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

OverheadJitting  1: 1 op, 415924.00 ns, 415.9240 us/op
WorkloadJitting  1: 1 op, 55952966.00 ns, 55.9530 ms/op

WorkloadPilot    1: 2 op, 7377001.00 ns, 3.6885 ms/op
WorkloadPilot    2: 3 op, 3480018.00 ns, 1.1600 ms/op
WorkloadPilot    3: 4 op, 4320742.00 ns, 1.0802 ms/op
WorkloadPilot    4: 5 op, 5724016.00 ns, 1.1448 ms/op
WorkloadPilot    5: 6 op, 6845570.00 ns, 1.1409 ms/op
WorkloadPilot    6: 7 op, 7548884.00 ns, 1.0784 ms/op
WorkloadPilot    7: 8 op, 8684965.00 ns, 1.0856 ms/op
WorkloadPilot    8: 9 op, 9573200.00 ns, 1.0637 ms/op
WorkloadPilot    9: 10 op, 12189690.00 ns, 1.2190 ms/op
WorkloadPilot   10: 11 op, 12616724.00 ns, 1.1470 ms/op
WorkloadPilot   11: 12 op, 12862708.00 ns, 1.0719 ms/op
WorkloadPilot   12: 13 op, 13898089.00 ns, 1.0691 ms/op
WorkloadPilot   13: 14 op, 15095035.00 ns, 1.0782 ms/op
WorkloadPilot   14: 15 op, 17469208.00 ns, 1.1646 ms/op
WorkloadPilot   15: 16 op, 18736950.00 ns, 1.1711 ms/op
WorkloadPilot   16: 32 op, 35830679.00 ns, 1.1197 ms/op
WorkloadPilot   17: 64 op, 72750269.00 ns, 1.1367 ms/op
WorkloadPilot   18: 128 op, 153681474.00 ns, 1.2006 ms/op
WorkloadPilot   19: 256 op, 288433518.00 ns, 1.1267 ms/op
WorkloadPilot   20: 512 op, 522468196.00 ns, 1.0204 ms/op

WorkloadWarmup   1: 512 op, 525670220.00 ns, 1.0267 ms/op
WorkloadWarmup   2: 512 op, 476519191.00 ns, 930.7015 us/op
WorkloadWarmup   3: 512 op, 478473773.00 ns, 934.5191 us/op

// BeforeActualRun
WorkloadActual   1: 512 op, 472611316.00 ns, 923.0690 us/op
WorkloadActual   2: 512 op, 466256650.00 ns, 910.6575 us/op
WorkloadActual   3: 512 op, 466981436.00 ns, 912.0731 us/op

// AfterActualRun
WorkloadResult   1: 512 op, 472611316.00 ns, 923.0690 us/op
WorkloadResult   2: 512 op, 466256650.00 ns, 910.6575 us/op
WorkloadResult   3: 512 op, 466981436.00 ns, 912.0731 us/op
// GC:  2 1 0 42845400 512
// Threading:  4244 0 512
// Exceptions:  3

// AfterAll
// Benchmark Process 889816 has exited with code 0.

Mean = 915.267 us, StdErr = 3.923 us (0.43%), N = 3, StdDev = 6.794 us
Min = 910.658 us, Q1 = 911.365 us, Median = 912.073 us, Q3 = 917.571 us, Max = 923.069 us
IQR = 6.206 us, LowerFence = 902.057 us, UpperFence = 926.880 us
ConfidenceInterval = [791.317 us; 1,039.216 us] (CI 99.9%), Margin = 123.949 us (13.54% of Mean)
Skewness = 0.37, Kurtosis = 0.67, MValue = 2

// ** Remained 14 (93.3%) benchmark(s) to run. Estimated finish 2026-09-22 11:49 (0h 1m from now) **
// **************************
// Benchmark: FrameworkSetupBenchmarks.Control_ConnectDisposeAsync: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3) [Sessions=1]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet WinForward.Benchmarks-ShortRun-1.dll --anonymousPipes 150 151 --benchmarkName "WinForward.Benchmarks.Perf.FrameworkSetupBenchmarks.Control_ConnectDisposeAsync(Sessions: 1)" --job ShortRun --benchmarkId 1 in /home/paff/Projects/WinForward/benchmarks/WinForward.Benchmarks/bin/Release/net10.0/WinForward.Benchmarks-ShortRun-1/bin/Release/net10.0
// Failed to set up high priority (Permission denied). In order to run benchmarks with high priority, make sure you have the right permissions.
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.8
// Runtime=.NET 10.0.12 (10.0.12, 10.0.1226.42308), X64 RyuJIT x86-64-v4
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX512 BITALG+VBMI2+VNNI+VPOPCNTDQ,AVX512 IFMA+VBMI,AVX512 F+BW+CD+DQ+VL,AVX2+BMI1+BMI2+F16C+FMA+LZCNT+MOVBE,AVX,SSE3+SSSE3+SSE4.1+SSE4.2+POPCNT,X86Base+SSE+SSE2,AES+PCLMUL,AvxVnni VectorSize=256
// Job: ShortRun(IterationCount=3, LaunchCount=1, WarmupCount=3)

OverheadJitting  1: 1 op, 346112.00 ns, 346.1120 us/op
WorkloadJitting  1: 1 op, 40205304.00 ns, 40.2053 ms/op

WorkloadPilot    1: 2 op, 1944163.00 ns, 972.0815 us/op
WorkloadPilot    2: 3 op, 2718676.00 ns, 906.2253 us/op
WorkloadPilot    3: 4 op, 3111672.00 ns, 777.9180 us/op
WorkloadPilot    4: 5 op, 3722436.00 ns, 744.4872 us/op
WorkloadPilot    5: 6 op, 4831531.00 ns, 805.2552 us/op
WorkloadPilot    6: 7 op, 5603816.00 ns, 800.5451 us/op
WorkloadPilot    7: 8 op, 6141412.00 ns, 767.6765 us/op
WorkloadPilot    8: 9 op, 7319853.00 ns, 813.3170 us/op
WorkloadPilot    9: 10 op, 7421675.00 ns, 742.1675 us/op
WorkloadPilot   10: 11 op, 8694653.00 ns, 790.4230 us/op
WorkloadPilot   11: 12 op, 9040146.00 ns, 753.3455 us/op
WorkloadPilot   12: 13 op, 9821046.00 ns, 755.4651 us/op
WorkloadPilot   13: 14 op, 10394790.00 ns, 742.4850 us/op
WorkloadPilot   14: 15 op, 10783540.00 ns, 718.9027 us/op
WorkloadPilot   15: 16 op, 11550816.00 ns, 721.9260 us/op
WorkloadPilot   16: 32 op, 24148541.00 ns, 754.6419 us/op
WorkloadPilot   17: 64 op, 53140937.00 ns, 830.3271 us/op
WorkloadPilot   18: 128 op, 102907013.00 ns, 803.9610 us/op
